Multi Channel DataManager 1.8.4.0 ASCII Export
File version: 1
Stream label: Data Acquisition (1);MEA2100; Electrode Raw Data1
Stream type: Analog
Data subtype: Electrode

TimeStamp [µs],47 (ID=0) [pV],48 (ID=1) [pV],46 (ID=2) [pV],45 (ID=3) [pV],38 (ID=4) [pV],37 (ID=5) [pV],28 (ID=6) [pV],36 (ID=7) [pV],27 (ID=8) [pV],17 (ID=9) [pV],26 (ID=10) [pV],16 (ID=11) [pV],35 (ID=12) [pV],25 (ID=13) [pV],r<ef (ID=14) [pV],14 (ID=15) [pV],24 (ID=16) [pV],34 (ID=17) [pV],13 (ID=18) [pV],23 (ID=19) [pV],12 (ID=20) [pV],22 (ID=21) [pV],33 (ID=22) [pV],21 (ID=23) [pV],32 (ID=24) [pV],31 (ID=25) [pV],44 (ID=26) [pV],43 (ID=27) [pV],41 (ID=28) [pV],42 (ID=29) [pV],52 (ID=30) [pV],51 (ID=31) [pV],53 (ID=32) [pV],54 (ID=33) [pV],61 (ID=34) [pV],62 (ID=35) [pV],71 (ID=36) [pV],63 (ID=37) [pV],72 (ID=38) [pV],82 (ID=39) [pV],73 (ID=40) [pV],83 (ID=41) [pV],64 (ID=42) [pV],74 (ID=43) [pV],84 (ID=44) [pV],85 (ID=45) [pV],75 (ID=46) [pV],65 (ID=47) [pV],86 (ID=48) [pV],76 (ID=49) [pV],87 (ID=50) [pV],77 (ID=51) [pV],66 (ID=52) [pV],78 (ID=53) [pV],67 (ID=54) [pV],68 (ID=55) [pV],55 (ID=56) [pV],56 (ID=57) [pV],58 (ID=58) [pV],57 (ID=59) [pV]
1000,10848110,-476840,6556550,3397485,-4410770,-357630,-3576300,2264990,-3755115,-1668940,-2264990,178815,417235,-6437340,-774865,4112745,4172350,-5304845,4649190,-3576300,-1370915,-3695510,417235,-2443805,-2563015,-1251705,-1072890,2622620,-4828005,-476840,-2622620,-2205385,-3814720,1192100,-834470,-2324595,238420,417235,357630,9894430,-1192100,596050,6139315,178815,-1847755,-8404305,-3874325,-1370915,774865,-1311310,11324950,-1609335,6198920,5841290,-6496945,-2920645,-1966965,-3159065,1311310,-894075
1100,953680,-5900895,2563015,2861040,1013285,-119210,-3814720,4231955,-3218670,-1132495,3039855,-4708795,715260,-6079710,-238420,894075,2920645,-2026570,4410770,-1549730,-3516695,-536445,5245240,1907360,3159065,1788150,119210,1966965,-2920645,-774865,-4231955,655655,-4887610,-894075,-2086175,-1728545,-1311310,1430520,1251705,5185635,-3457090,-953680,3695510,1251705,-3218670,-1251705,-1430520,6139315,59605,2384200,1728545,536445,7689045,-3516695,-6914180,2026570,-59605,-1907360,3457090,1490125
1200,3695510,-3933930,5364450,3457090,3814720,-119210,-2741830,10907715,-1668940,3337880,6675760,-3218670,3397485,-1966965,596050,3993535,-178815,0,5364450,715260,536445,1072890,1728545,1430520,2801435,1966965,1609335,5543265,-3635905,-3933930,2861040,6616155,4529980,1609335,-2264990,1549730,-3635905,-5543265,-4947215,2145780,-2861040,3337880,6735365,4231955,-3874325,-774865,953680,8344700,-1549730,5185635,-4351165,5602870,1013285,-2503410,5245240,536445,-1668940,-3159065,-1728545,596050
1300,3755115,-417235,1192100,2741830,476840,-1430520,-3933930,6437340,1907360,-2682225,5900895,-3755115,-655655,3039855,417235,2682225,3337880,2503410,4589585,-894075,238420,2622620,119210,-2205385,4887610,-2324595,774865,3039855,-5185635,-178815,5245240,10490480,417235,-3814720,536445,-4231955,-9954035,-774865,1251705,2026570,-2563015,4291560,3516695,6854575,-4231955,238420,5185635,9536800,-3039855,10073245,-894075,6914180,14126385,4768400,2443805,3159065,-7331415,-3397485,178815,-1370915
1400,-8046675,-596050,1251705,1788150,-357630,-5066425,-2324595,1788150,596050,-119210,1013285,-2324595,-1668940,655655,596050,-1132495,3874325,-4529980,3337880,1251705,1013285,2145780,-1013285,-2622620,7331415,-4589585,-3814720,834470,-2145780,-1907360,178815,834470,-1311310,-4828005,5185635,-2086175,-3755115,-1251705,-2920645,1490125,59605,2920645,-1311310,-6139315,-6496945,-5960500,-1251705,4053140,-2145780,357630,-6437340,715260,9357985,-655655,-2145780,3039855,-8821540,-1668940,-4053140,-1966965
1500,-1072890,774865,5304845,3159065,2503410,-834470,-2086175,476840,715260,-2801435,3278275,-119210,-536445,2503410,536445,1490125,3695510,-6377735,834470,5245240,6377735,5066425,2026570,-1966965,476840,-2324595,-655655,1013285,-1013285,-298025,953680,1668940,-2264990,-894075,1013285,596050,1728545,2145780,-4589585,4470375,1907360,5900895,3576300,-2622620,-715260,-5304845,-2682225,1907360,-2026570,-178815,-6258525,6198920,8344700,9477195,-1549730,-178815,-7092995,-1668940,1430520,-715260
1600,-3755115,-4351165,2741830,-5364450,834470,-3039855,-715260,-476840,-3457090,-4589585,1728545,-3933930,-59605,178815,1370915,-2443805,-6079710,357630,1072890,1728545,2861040,4649190,3755115,-536445,1311310,-5245240,1907360,-298025,476840,2741830,-655655,1192100,715260,-5304845,-5781685,-1430520,-4589585,5841290,-5841290,1490125,2920645,3516695,1907360,-2026570,-2026570,834470,-1132495,1430520,4172350,1609335,-417235,5602870,8702330,1728545,-3695510,-4649190,-6735365,-1668940,2086175,-1132495
1700,1192100,-5245240,-2384200,-4112745,2026570,-2861040,-2741830,834470,-4231955,-4410770,-1311310,834470,1132495,-1907360,1370915,-2920645,-3874325,-774865,2622620,5364450,119210,3337880,2384200,-4231955,-1549730,-3755115,-1788150,59605,-2264990,-2622620,-3874325,-178815,-894075,-2622620,894075,-5066425,-3695510,4887610,-2861040,4351165,4708795,-59605,953680,-7450625,-3218670,-2741830,-4768400,178815,-1609335,-3695510,-2503410,715260,9179170,-1370915,-2622620,-3337880,-1013285,-2503410,-1907360,4529980
1800,-715260,-9656010,-5304845,-4291560,-1728545,-3576300,-6794970,-2264990,-3218670,-4828005,-3337880,-3218670,-4053140,-10371270,-178815,-5602870,-8761935,-3933930,-5364450,-2503410,-1609335,-2264990,-1788150,-2503410,-1311310,-5006820,-2980250,-5781685,-2563015,-4112745,-7569835,-119210,-6496945,-9954035,-9059960,-5841290,-5781685,-8165885,-6496945,-655655,-953680,-12993890,357630,-6616155,-5900895,-11265345,-7808255,-1668940,-10132850,-2264990,-14841645,-10430875,-2861040,1549730,-4887610,-5126030,-5781685,-8165885,-5900895,0
1900,-1966965,417235,357630,178815,0,-894075,-6079710,3457090,-119210,2026570,-6556550,-10490480,-834470,-3755115,417235,-6198920,-5543265,-5483660,-2980250,-3039855,-59605,-5006820,2682225,-1847755,2682225,-6198920,298025,-7569835,1847755,-2920645,894075,3814720,1728545,-6198920,-8523515,-4112745,-1788150,-4768400,-1192100,1430520,5602870,-11742185,-1966965,-5066425,-3814720,-6139315,-1311310,298025,-6735365,-1192100,-21994245,-23603580,-13947570,-596050,-8106280,1907360,-4291560,-3874325,119210,1311310
