Multi Channel DataManager 1.8.4.0 ASCII Export
File version: 1
Stream label: Data Acquisition (1);MEA2100; Electrode Raw Data1
Stream type: Analog
Data subtype: Electrode

TimeStamp [µs],47 (ID=0) [pV],48 (ID=1) [pV],46 (ID=2) [pV],45 (ID=3) [pV],38 (ID=4) [pV],37 (ID=5) [pV],28 (ID=6) [pV],36 (ID=7) [pV],27 (ID=8) [pV],17 (ID=9) [pV],26 (ID=10) [pV],16 (ID=11) [pV],35 (ID=12) [pV],25 (ID=13) [pV],r<ef (ID=14) [pV],14 (ID=15) [pV],24 (ID=16) [pV],34 (ID=17) [pV],13 (ID=18) [pV],23 (ID=19) [pV],12 (ID=20) [pV],22 (ID=21) [pV],33 (ID=22) [pV],21 (ID=23) [pV],32 (ID=24) [pV],31 (ID=25) [pV],44 (ID=26) [pV],43 (ID=27) [pV],41 (ID=28) [pV],42 (ID=29) [pV],52 (ID=30) [pV],51 (ID=31) [pV],53 (ID=32) [pV],54 (ID=33) [pV],61 (ID=34) [pV],62 (ID=35) [pV],71 (ID=36) [pV],63 (ID=37) [pV],72 (ID=38) [pV],82 (ID=39) [pV],73 (ID=40) [pV],83 (ID=41) [pV],64 (ID=42) [pV],74 (ID=43) [pV],84 (ID=44) [pV],85 (ID=45) [pV],75 (ID=46) [pV],65 (ID=47) [pV],86 (ID=48) [pV],76 (ID=49) [pV],87 (ID=50) [pV],77 (ID=51) [pV],66 (ID=52) [pV],78 (ID=53) [pV],67 (ID=54) [pV],68 (ID=55) [pV],55 (ID=56) [pV],56 (ID=57) [pV],58 (ID=58) [pV],57 (ID=59) [pV]
4400,9715615,3933930,-2443805,4351165,2741830,1251705,894075,4768400,1847755,3278275,3814720,-3933930,3874325,2086175,536445,8404305,3337880,2384200,7391020,4112745,-1966965,-5126030,2145780,3576300,2086175,-59605,3397485,-953680,5841290,-1430520,5841290,1728545,2205385,1013285,1013285,-59605,7271810,-4470375,3397485,1907360,715260,13530335,536445,5722080,2682225,2563015,894075,5662475,2980250,4231955,-596050,3933930,10490480,4470375,-1251705,6496945,5960500,1728545,-2145780,1788150
4500,8344700,4589585,-2980250,1072890,-894075,3814720,59605,1013285,-1966965,1370915,5424055,-7092995,1847755,8165885,0,4649190,7391020,4708795,953680,5006820,2384200,-6914180,-1490125,357630,-1907360,-3397485,417235,6020105,5006820,-119210,3218670,1549730,2861040,5126030,2682225,-834470,5245240,2264990,3516695,1072890,5662475,5781685,-1609335,-1668940,-834470,6794970,5722080,1311310,6079710,6794970,9477195,8463910,18835180,1966965,-59605,6079710,1192100,6794970,-2682225,-1907360
4600,7689045,3337880,2801435,3635905,-5662475,1072890,-3874325,-178815,2026570,-2741830,-953680,-4529980,-1609335,-3218670,1132495,3337880,4887610,2563015,3397485,8821540,4529980,2384200,3337880,2264990,-2145780,-2026570,-3755115,9119565,3337880,2443805,-2205385,3755115,-417235,3397485,-2563015,3337880,7092995,5066425,1609335,-1072890,6258525,3099460,-2861040,2264990,-715260,3814720,2264990,4589585,2563015,6854575,12159420,14066780,10669295,1132495,4947215,3397485,417235,2801435,2205385,0
4700,2801435,1788150,-1549730,417235,-5662475,2443805,2980250,-1966965,-3516695,-4410770,1847755,-8106280,298025,-2086175,-2384200,5662475,-2145780,1072890,3397485,4231955,178815,3695510,3635905,-2026570,2801435,-2503410,-2264990,6854575,4112745,4470375,-238420,-1490125,3457090,-4053140,1251705,1609335,5543265,-715260,2145780,1370915,5722080,6079710,-3039855,5126030,-2741830,1847755,2264990,4053140,6556550,1966965,8583120,5602870,1549730,1370915,-834470,-953680,-3576300,178815,5006820,-5781685
4800,4649190,-1013285,-5066425,-1668940,3159065,2384200,4589585,298025,4351165,298025,3814720,-2741830,1132495,-1370915,-1907360,2324595,-1192100,-238420,3159065,-1788150,-3993535,655655,3933930,-2682225,-2205385,-715260,1072890,4947215,3635905,5483660,-7212205,-4351165,-4768400,-1728545,-4768400,774865,-238420,-894075,-3039855,-6914180,536445,1370915,-3695510,6854575,-5602870,298025,-1847755,59605,1847755,1072890,6616155,4887610,14841645,-3635905,536445,-3337880,-1668940,1490125,894075,-4410770
4900,-8821540,-8404305,-12099815,-15080065,-8285095,-12099815,-5722080,-10907715,-11622975,-12993890,-11086530,-13768755,-8404305,-14126385,-119210,-8642725,-11861395,-8523515,-8583120,-8821540,-8761935,-6496945,-11980605,-15378090,-10252060,-9179170,-11086530,-5424055,-4351165,-10967320,-12934285,-19013995,-10788505,-14066780,-14185990,-8523515,-6020105,-16450980,-9357985,-14364805,-7569835,-13291915,-9059960,-3516695,-13291915,-10788505,-15974140,-8702330,-5841290,-16093350,-19013995,-21219380,-16629795,-15676115,-6735365,-14185990,-9954035,-17523870,-11444160,-15556905
5000,238420,-4291560,-3159065,-4112745,1549730,-4291560,2503410,178815,-5424055,-1609335,-2443805,-6198920,-2086175,-2980250,476840,774865,-4053140,4112745,-2086175,894075,2801435,-1251705,1251705,-1251705,-5602870,1728545,-5364450,-774865,2861040,476840,-6556550,2563015,-2026570,-1490125,-3695510,1192100,-1847755,4351165,596050,-6079710,-1251705,6616155,-2801435,1311310,-7331415,-4172350,-7808255,2324595,655655,-2980250,-21219380,-32067490,-25749360,-6020105,1370915,-3099460,-2443805,-5662475,-6973785,-7808255
5100,2086175,3457090,3159065,2205385,2980250,3159065,3159065,2503410,774865,1966965,7331415,-417235,-1430520,1609335,1072890,-298025,655655,6973785,-2205385,6914180,3397485,2920645,536445,3695510,-5126030,2622620,-1668940,2324595,3337880,1728545,-5304845,5602870,-3159065,2801435,-2682225,1788150,2026570,7152600,5006820,2384200,4172350,7987070,-3516695,536445,-2264990,178815,0,2264990,1192100,-1132495,-18179525,-18417945,-8940750,2324595,3993535,2145780,1311310,-7927465,2563015,-4708795
5200,357630,1072890,3099460,1728545,476840,1847755,-1132495,0,2622620,1192100,4053140,298025,2980250,774865,1430520,2026570,-2622620,3397485,2384200,8940750,-357630,5364450,-59605,1072890,3278275,-2741830,-2503410,6854575,1609335,-1788150,-834470,-1966965,-2920645,2145780,1311310,-1013285,1132495,-536445,5781685,3039855,1072890,8702330,1966965,4410770,-3516695,-1549730,6318130,1192100,-1072890,-4947215,-8165885,-3039855,-1668940,-238420,3635905,1013285,-3218670,-953680,6675760,-5126030
5300,-5304845,0,-4291560,-3635905,-2682225,-2384200,-6735365,-4112745,-596050,-3695510,178815,-4708795,5066425,-5185635,-238420,-3695510,-2145780,178815,2980250,3635905,-596050,0,-178815,-536445,2443805,-6794970,-1311310,5781685,-6914180,-1788150,-9775220,-3576300,-1490125,-2980250,2920645,-1668940,5424055,-6735365,-1728545,655655,-1192100,1072890,178815,1907360,-5364450,2563015,-834470,-4351165,-3576300,3516695,-6437340,-2920645,1847755,4053140,-1311310,-3814720,-4470375,3576300,-1132495,-4470375
5400,-298025,2861040,1668940,-3159065,-1311310,-2205385,-476840,-178815,-2920645,-4887610,-2205385,-3159065,3576300,-2443805,238420,5364450,-2086175,2622620,3039855,6079710,-2563015,-3755115,-1728545,953680,-1907360,-476840,3993535,7808255,-2026570,774865,-5364450,655655,1251705,-5126030,2741830,-6616155,2145780,715260,-1430520,2026570,-2801435,-655655,-2503410,-298025,-2682225,4529980,-2622620,-2861040,178815,2563015,-18954390,-15854930,-14901250,4231955,-1788150,-1430520,-4351165,-1072890,-1728545,-2622620
5500,2443805,-2384200,3635905,-655655,4410770,-5483660,3993535,-4649190,-2503410,2741830,953680,-2741830,178815,-59605,536445,4828005,1549730,2264990,953680,3516695,-1609335,-1609335,-2086175,2980250,-1311310,-1072890,6377735,3516695,2741830,3576300,2264990,5424055,-1072890,-3039855,6973785,-2741830,3933930,1609335,11503765,4172350,-536445,-5722080,1192100,3635905,0,476840,-417235,-2324595,2443805,5304845,-11622975,-4828005,-8225490,3516695,3993535,-1847755,5066425,-4112745,3695510,-5364450
5600,6020105,1311310,2563015,-1132495,7033390,-417235,2026570,2682225,1728545,5543265,3695510,655655,715260,-894075,-1311310,715260,3397485,5185635,3039855,-476840,417235,-2384200,-3457090,-357630,-4589585,3039855,1251705,3576300,2026570,1430520,3397485,5960500,-2622620,1668940,11324950,417235,6020105,3635905,7152600,3576300,5126030,-2980250,3933930,-1311310,-1907360,3993535,6794970,6437340,655655,6377735,-10728900,-596050,-5722080,7510230,774865,5722080,7569835,-2324595,238420,2861040
5700,1490125,2205385,119210,-1788150,4351165,-2324595,178815,-119210,-953680,7569835,4887610,-1251705,-1847755,-1251705,-357630,1370915,-2503410,3635905,-2324595,-894075,2980250,-2503410,-2384200,-834470,2264990,1490125,3039855,-417235,1847755,178815,-4053140,2563015,-4053140,3516695,4529980,1847755,2920645,-178815,7212205,-536445,4231955,-10728900,1430520,536445,-1966965,6198920,-59605,1072890,-2086175,2920645,774865,4589585,-59605,7331415,3635905,5543265,2861040,298025,-2443805,3933930
5800,1847755,3337880,4529980,3218670,7331415,-1192100,3516695,2920645,178815,9775220,3397485,1549730,-3755115,1132495,-774865,834470,834470,3755115,-1370915,357630,2384200,-1728545,-3159065,3516695,-1966965,-774865,-1609335,-1430520,2741830,2503410,-6198920,4112745,1490125,8106280,5304845,2741830,357630,-3337880,4828005,59605,6556550,1907360,596050,4053140,-3218670,1192100,-3635905,1370915,-2264990,1966965,9059960,5841290,-3933930,4410770,5245240,3874325,1668940,-2503410,-3814720,2264990
5900,1728545,2264990,-3337880,4828005,3039855,-7152600,3516695,3457090,-119210,6556550,417235,-2264990,1311310,1132495,536445,0,655655,-2145780,-2205385,1609335,-5006820,-1490125,-4768400,1192100,-3516695,-4351165,-476840,-1251705,2264990,2741830,-6079710,-1132495,1370915,2264990,2264990,-715260,834470,-238420,-3993535,1013285,1728545,-1072890,-1132495,2920645,-4589585,-3933930,-2980250,-2861040,-5245240,1430520,7212205,7629440,59605,7331415,-2145780,-2801435,4589585,-3695510,-3695510,3039855
6000,4172350,4172350,-59605,4112745,715260,-894075,2205385,3278275,4768400,4887610,2920645,-2205385,-596050,2026570,1072890,-59605,-894075,-4828005,-417235,5781685,-2086175,-178815,-298025,-655655,655655,1549730,4172350,-3099460,2086175,1311310,2205385,59605,-3933930,4768400,8702330,6616155,4291560,-1788150,4947215,4053140,-3814720,178815,-4887610,119210,-2622620,-894075,-715260,1609335,-3337880,-1490125,9417590,12159420,2622620,4649190,7569835,-4589585,2264990,-2741830,-894075,5960500
6100,2324595,-5662475,-2264990,3755115,-4410770,-6735365,-4053140,4828005,3337880,-894075,-894075,-1370915,1192100,2443805,1072890,-6198920,2086175,476840,-1728545,1490125,-1311310,-2026570,774865,-2145780,2443805,4053140,-2741830,-4589585,3099460,-2384200,-2563015,-596050,-298025,-2682225,5781685,2980250,1072890,-1847755,6854575,7152600,1847755,7629440,-6020105,-2205385,-5185635,4053140,-4172350,894075,-1072890,-2145780,7450625,8106280,2086175,1072890,-953680,-953680,1192100,-953680,-9596405,5304845
6200,4351165,-3039855,1847755,-1132495,5781685,-3218670,-1192100,8463910,6556550,-417235,4708795,-3874325,4887610,1609335,-1430520,5364450,2801435,-2145780,1192100,-3337880,-2980250,1966965,-59605,2264990,5245240,0,2264990,-1251705,4828005,2205385,-1251705,4172350,894075,6556550,2145780,5304845,5424055,-2145780,4291560,4589585,2682225,10490480,-1966965,2503410,-7510230,1847755,4470375,2980250,476840,-3516695,7033390,2801435,8046675,4470375,-1549730,-3993535,3099460,7331415,-3039855,5543265
6300,2264990,-5781685,178815,-774865,3099460,-5602870,1728545,3218670,3099460,3337880,4291560,-1251705,2443805,1430520,-953680,1668940,1847755,-953680,-2503410,-3337880,-1311310,715260,-2384200,6198920,-5245240,-3814720,-4053140,5364450,4172350,-3159065,2682225,4828005,-834470,2443805,536445,2503410,7450625,417235,2622620,298025,2026570,1728545,-3099460,1907360,-655655,-5006820,-2443805,596050,2324595,-1370915,8344700,9656010,5245240,3933930,-5602870,-1311310,2264990,476840,-2503410,2980250
6400,1847755,-4768400,3695510,178815,119210,-1549730,536445,4828005,953680,1013285,1966965,-1072890,7152600,3933930,-1251705,1668940,-1311310,5722080,-3278275,-1609335,-5126030,2205385,-2384200,953680,894075,2384200,-5006820,5126030,-417235,3576300,6377735,6914180,-894075,417235,2086175,4768400,3337880,3159065,655655,2324595,7748650,2384200,-3397485,774865,6258525,-1668940,-1132495,4231955,-1966965,3278275,9417590,12815075,7629440,3874325,-5722080,9715615,1072890,-1847755,-1311310,1311310
6500,238420,-2682225,476840,-596050,3993535,-417235,-5185635,4708795,2801435,4828005,298025,1490125,2920645,1311310,-357630,3814720,178815,4291560,-417235,-417235,-8761935,1966965,-5304845,3695510,357630,3516695,-3159065,1966965,298025,-3635905,3635905,8583120,1609335,-6318130,-715260,3397485,6139315,1251705,-1609335,-59605,6258525,5483660,-3516695,3337880,8821540,7212205,-5841290,4708795,-2324595,6318130,13828360,18537155,11444160,1013285,-1847755,6616155,-834470,2026570,3218670,953680
6600,-774865,-4470375,-4053140,2741830,3993535,-5483660,2086175,-596050,-1430520,7748650,834470,5304845,178815,6079710,119210,-2145780,-238420,3576300,834470,953680,-2980250,-3218670,-1728545,-417235,-2324595,3397485,-4529980,-774865,-2384200,-1788150,-59605,5722080,1072890,-5960500,5483660,2443805,-357630,774865,476840,-2682225,5841290,3397485,-4231955,476840,4410770,7569835,-2443805,1192100,-2563015,8285095,10252060,10132850,10490480,-894075,119210,5841290,-2205385,2801435,-2145780,-1311310
6700,-6794970,-11324950,-2026570,-536445,-4589585,-5781685,715260,-5900895,-3337880,59605,-3635905,-5245240,-2801435,-1430520,298025,-2264990,238420,238420,-1013285,-5424055,298025,-2741830,-1668940,-1847755,-6616155,-2861040,-417235,-8702330,-6735365,596050,-2801435,-298025,-9834825,-298025,1311310,-59605,-3457090,-3457090,-5066425,-2503410,3933930,3159065,-5364450,3874325,3278275,1847755,-3159065,-2086175,-6139315,596050,5304845,-2324595,2682225,-536445,-2026570,-2324595,-2563015,-5900895,655655,-6437340
6800,-655655,-5662475,119210,-4947215,-3576300,-2443805,-1549730,-2503410,-1490125,59605,-1430520,-5960500,834470,-1847755,357630,-6318130,2503410,1907360,-119210,-1132495,-655655,-1788150,-6198920,1847755,-1728545,-5781685,-4708795,-2384200,-8821540,1311310,-2741830,-2980250,596050,5245240,-1072890,4351165,-4112745,2920645,1251705,-2264990,4112745,-5602870,1370915,6318130,3993535,2026570,-2563015,1251705,-1430520,-1728545,6973785,-7808255,-5483660,4172350,5126030,-1847755,894075,-7152600,5543265,-4231955
6900,-59605,-7212205,655655,-6675760,-4589585,-4172350,-4410770,-4351165,-3278275,1490125,-2563015,-2741830,-3337880,-6079710,-1311310,-5543265,2741830,-774865,-1668940,1430520,-1490125,-4053140,-2741830,-1728545,-178815,417235,-3516695,-1013285,-7450625,-3337880,-8046675,-298025,-3039855,-2026570,715260,1668940,-8642725,-2861040,-3635905,-5722080,1132495,-6079710,1072890,-119210,1251705,-655655,-4708795,-5185635,-2682225,-1788150,-2503410,-8106280,-14960855,-2384200,-1251705,-2741830,-3993535,-7927465,2384200,-5483660
7000,774865,-6914180,774865,1668940,238420,-1370915,-3814720,-3695510,238420,4410770,-1251705,4708795,-774865,-3039855,-417235,-2205385,7271810,-834470,-4053140,4887610,3397485,2563015,2622620,5483660,-1609335,238420,2622620,1847755,-7927465,-3457090,-3039855,5126030,-1251705,2324595,2563015,2980250,-6020105,417235,-4112745,5722080,6914180,-1966965,357630,5185635,1609335,-357630,1251705,1847755,-59605,2563015,6198920,1728545,-8165885,178815,2264990,-59605,-1013285,-3278275,4887610,-3397485
7100,-1668940,1251705,834470,-1251705,-1013285,2920645,1668940,-238420,-774865,-417235,-1192100,2980250,-953680,-5900895,-596050,3159065,417235,417235,-2205385,4231955,-1192100,715260,715260,178815,5543265,-3755115,2801435,7867860,-3635905,1490125,1668940,-1728545,-3218670,596050,-774865,1966965,2384200,4053140,2443805,-119210,3755115,-6139315,1668940,6318130,-2801435,-6079710,-476840,3099460,4708795,2205385,9834825,5006820,-11742185,-1728545,-119210,4947215,-417235,-2563015,1430520,4172350
7200,-2443805,-59605,1430520,655655,-4649190,59605,655655,-3099460,-1430520,1013285,-774865,1728545,-4053140,3635905,-834470,774865,-596050,-59605,-1788150,1907360,-7391020,-2145780,596050,-3635905,2741830,-1251705,4112745,3337880,-3039855,417235,-596050,-3397485,-5662475,2741830,-1966965,298025,3218670,1728545,4291560,-2980250,2622620,-5960500,4887610,4589585,-6079710,-1490125,715260,1251705,7450625,-715260,715260,16808610,-5483660,-1668940,4231955,2741830,3695510,-2682225,-3814720,-1728545
7300,-2264990,-1549730,0,-9775220,-2205385,-5662475,-8404305,-5543265,-6198920,-1847755,-5483660,1132495,-4351165,-2801435,-2145780,-715260,-774865,-6258525,-2384200,2920645,-9894430,-4589585,-476840,-6556550,-178815,-2205385,1728545,4053140,-1966965,596050,-4768400,-3457090,-1072890,-2443805,-4053140,-834470,-774865,5364450,894075,-5781685,4589585,-4947215,-2563015,715260,-7569835,-2264990,119210,1430520,4112745,774865,-6735365,3874325,-8165885,-5602870,3099460,-238420,2801435,-3635905,-7331415,-5006820
7400,-1728545,298025,3695510,-4112745,119210,-417235,-2145780,-5126030,417235,5602870,-1490125,4410770,2920645,1966965,-1549730,1251705,953680,-5781685,-3099460,-2563015,-774865,-3755115,5841290,-4410770,2503410,715260,4470375,7987070,953680,476840,1430520,6735365,5662475,3457090,-1132495,5722080,-357630,5483660,-1192100,-536445,5960500,596050,9596405,7569835,-357630,0,536445,1132495,5543265,1847755,-4351165,3337880,-3695510,-5960500,5781685,5006820,3755115,-3099460,-1609335,-3397485
7500,-1490125,-4172350,2980250,-774865,178815,3218670,1728545,357630,357630,1847755,1668940,1668940,2622620,5364450,-596050,4947215,2264990,-4053140,-4053140,1251705,5722080,-4649190,9417590,5364450,-774865,-2086175,2563015,1490125,1490125,6258525,-3337880,5483660,4172350,4589585,-4649190,-1490125,-655655,5364450,2026570,-1728545,8583120,6198920,8940750,7092995,-1370915,-1311310,-834470,1132495,-238420,4768400,8523515,6973785,596050,-5781685,13768755,2682225,2622620,-774865,6020105,238420
7600,1728545,-2622620,8523515,2145780,417235,2920645,9179170,596050,-4112745,1490125,953680,3755115,4708795,2682225,-357630,5424055,-3099460,-2622620,-2264990,1966965,5781685,-1132495,3278275,8881145,5126030,1192100,4410770,3278275,6318130,5185635,-3039855,4470375,-238420,5185635,-3099460,-2563015,3814720,1132495,1847755,-894075,6377735,-1609335,3159065,-834470,-1966965,-3516695,-3635905,1907360,1490125,2086175,16450980,13649545,-1788150,1072890,9059960,715260,2801435,-1430520,178815,3159065
7700,-715260,-5841290,4231955,3337880,1907360,1013285,6735365,4172350,-3039855,1311310,417235,5662475,6198920,-1549730,298025,4291560,-4947215,-3337880,536445,1907360,1192100,4112745,1311310,5245240,2086175,-4649190,1430520,715260,-2682225,298025,-298025,1013285,-1251705,-2741830,0,-119210,-3397485,-953680,-2980250,-1072890,3337880,-9298380,5602870,655655,3159065,-4053140,-5185635,-417235,-2384200,-3933930,9715615,14007175,5662475,-8106280,5245240,953680,7271810,-5960500,715260,-536445
7800,1728545,-1847755,3397485,1311310,3635905,-2145780,-715260,7212205,-3755115,3159065,-6377735,-1490125,2801435,4410770,59605,2861040,-4947215,-1490125,4887610,2026570,834470,1609335,4768400,1072890,2145780,-4947215,298025,-953680,-8881145,178815,1430520,-5066425,-357630,-5483660,1370915,894075,-238420,1251705,-2861040,-1013285,-774865,1609335,4887610,-1072890,11324950,1847755,-2026570,-953680,1907360,-3516695,10550085,8463910,18298735,-3814720,6854575,2324595,8106280,3814720,-2145780,476840
7900,9357985,-476840,3278275,2384200,3516695,-1668940,-894075,2086175,-417235,1430520,-894075,3874325,1847755,1549730,178815,-6616155,-1490125,-715260,-4172350,4768400,4231955,-774865,9954035,-238420,1013285,3039855,-1370915,-894075,-6198920,-2801435,1966965,-5960500,-59605,-2980250,-2264990,4828005,298025,2384200,4410770,1549730,-417235,-4768400,5900895,-2563015,3039855,1668940,1728545,-1490125,-655655,-8404305,15854930,13589940,5662475,2980250,2920645,178815,-655655,894075,-2145780,-4828005
8000,3933930,-894075,3099460,-4053140,-715260,1549730,178815,-238420,-357630,-59605,-2920645,-238420,5006820,5245240,0,-1907360,6675760,3457090,-774865,3159065,4291560,59605,5364450,2324595,4828005,-1609335,-3397485,-3635905,1728545,-1132495,-596050,-2324595,-2324595,10490480,-4112745,4053140,-1132495,-774865,7450625,1072890,894075,1192100,3635905,-4470375,119210,1430520,1728545,-6377735,3218670,-953680,7271810,11622975,12278630,4410770,-2205385,-3159065,3695510,-2086175,-5900895,-5543265
8100,-774865,2801435,5543265,-5364450,-59605,-357630,2264990,-5602870,-119210,-1907360,2622620,-2801435,3814720,6139315,834470,-1966965,298025,894075,-5662475,-596050,4887610,-7033390,-1192100,4768400,3814720,-2145780,-5424055,-3695510,-894075,-298025,59605,-6139315,-2026570,119210,-1847755,2145780,1490125,536445,8106280,-7331415,3814720,7271810,-655655,-2384200,-1192100,4828005,178815,-3755115,-357630,894075,12517050,10132850,16331770,-2503410,2980250,-894075,3516695,-1907360,-3933930,-357630
8200,-834470,2503410,7748650,59605,2086175,-3397485,5483660,-774865,-4768400,-2264990,-1251705,5245240,-536445,-3933930,1132495,1072890,-3635905,2920645,-476840,1609335,536445,-1311310,3159065,-596050,5543265,-3635905,5126030,2801435,894075,4947215,-2384200,-2980250,357630,3218670,-1370915,-3635905,1132495,655655,5364450,-3635905,2324595,6914180,-2563015,-834470,2443805,2980250,-2861040,5722080,3576300,298025,15795325,6258525,15139670,-2861040,3397485,-3933930,1847755,-2622620,1847755,596050
8300,1728545,1072890,4887610,-2324595,655655,-2622620,-417235,-3516695,-5126030,-4470375,-4529980,2682225,-6437340,-10132850,-834470,-2622620,-2920645,-6675760,-953680,774865,-5602870,-7510230,-1430520,-5066425,4112745,-596050,3635905,-2205385,834470,-2622620,-3516695,-1311310,1549730,-5245240,-3993535,-6616155,-5781685,-1907360,-4947215,-3755115,-2026570,6854575,-3814720,-10132850,-1370915,774865,-9656010,417235,-417235,-4053140,-834470,8523515,5722080,-4291560,1490125,238420,2145780,-5066425,-178815,953680
8400,-2086175,-178815,-655655,4351165,-6079710,-6854575,-2741830,-9059960,953680,-3457090,-5364450,-2920645,-11563370,-10430875,1907360,-7092995,-3159065,-10788505,-1907360,-7033390,-5364450,-9000355,-2026570,-1311310,3457090,1847755,-1132495,-1788150,357630,-3993535,-1251705,1072890,-4828005,-6616155,-7033390,2086175,-4053140,-4708795,-6079710,-3814720,536445,1251705,-1490125,-9119565,-3933930,-178815,-6914180,-953680,119210,-6079710,7212205,1490125,6139315,-3516695,1192100,-4291560,-3218670,-3159065,-5304845,1430520
8500,-238420,596050,2264990,-417235,-4649190,-4828005,-3159065,-3635905,2503410,-1430520,-6616155,3039855,-9417590,-10371270,-1192100,-5662475,-4947215,-4112745,-357630,-6139315,-4470375,-6437340,3635905,1788150,2622620,3993535,-2443805,-5841290,-3397485,298025,4172350,1609335,-6794970,-2443805,-5006820,6258525,-1490125,-59605,-1192100,-2503410,-3397485,6079710,2324595,-8642725,-4351165,2443805,596050,2086175,3516695,3099460,8642725,-4291560,7271810,3516695,5066425,1728545,-1907360,1311310,-3397485,-1490125
8600,1311310,-3457090,-834470,-8821540,-6198920,-3695510,-8463910,-8702330,-4112745,-1311310,-6616155,-1966965,-5424055,-3218670,-476840,-7033390,-8285095,-7450625,-596050,-11444160,-10311665,-9238775,-5424055,-2741830,-3278275,-2563015,-6198920,-12159420,-6914180,-4351165,2980250,-2264990,-12636260,-4291560,-7987070,2205385,-7748650,-4231955,-1072890,-7689045,-4291560,-7092995,-7092995,-9238775,-11086530,-1490125,-3159065,-59605,119210,-1549730,417235,-3039855,-4589585,-5900895,-3874325,1311310,-5364450,-3695510,-9775220,-3874325
8700,-2563015,-2443805,-9357985,-9477195,-5364450,-6198920,-9238775,-7331415,-5722080,-3218670,-9059960,-4351165,-4410770,-2861040,-357630,-10430875,-10132850,-8165885,-6020105,-10252060,-7927465,-6794970,596050,-5364450,-3397485,-1192100,-8046675,-11742185,-9119565,-3695510,-2563015,-7808255,-6794970,-4768400,-9834825,-7987070,-5245240,-4410770,-4112745,-10073245,-2861040,-15258880,-4112745,-8523515,-14126385,-9834825,-10013640,-7987070,-1370915,-8642725,-27775930,-34153665,-30875390,-6496945,-7808255,-1430520,2741830,-4828005,-9238775,-3874325
8800,596050,5602870,-715260,-715260,4529980,-3397485,-1370915,417235,-6616155,119210,1311310,-536445,3337880,3576300,715260,417235,-6258525,-6258525,298025,1013285,2920645,-3457090,6377735,476840,1490125,-715260,-4768400,-3755115,-1132495,-298025,-1847755,3993535,-2086175,3635905,-4768400,-2324595,178815,-3218670,-1668940,-3576300,2205385,-6496945,-1490125,-6139315,-8225490,-715260,-5066425,-953680,8285095,-2264990,-17583475,-24974495,-15854930,2741830,476840,4529980,2443805,3993535,-1490125,-1847755
8900,3635905,5126030,536445,476840,4231955,-655655,3337880,655655,-2682225,238420,5066425,-1728545,3695510,3159065,357630,5662475,2443805,-3755115,9000355,-834470,1788150,119210,12219025,9834825,-2026570,1430520,536445,2920645,2026570,2920645,7629440,4470375,8344700,1966965,-1192100,4589585,596050,0,6854575,-536445,6139315,-2861040,655655,-417235,-5900895,9894430,2324595,4708795,7212205,-5066425,-178815,-20444515,-11146135,2980250,-1192100,5364450,8702330,6258525,298025,655655
9000,2384200,4947215,-417235,1072890,4410770,-894075,4887610,-1430520,2563015,2980250,6318130,1668940,1549730,-774865,-476840,-4172350,6854575,-3874325,1788150,476840,357630,-1072890,12338235,2086175,-1132495,-715260,-596050,-3159065,-1788150,476840,3695510,3933930,2384200,-1609335,655655,-1430520,1788150,5722080,-1013285,-2384200,4887610,-59605,2622620,178815,-1788150,6556550,-4828005,1251705,1728545,-5722080,-4112745,-19848465,-13947570,-3278275,-5304845,3576300,7748650,-476840,6139315,-2086175
9100,-2563015,-2145780,-3457090,-298025,834470,-238420,-2384200,-3755115,-655655,-7271810,2741830,1370915,-59605,-2384200,1311310,-6139315,1430520,-10967320,-4231955,-2682225,-4828005,-1311310,5722080,-894075,2682225,-4231955,-3397485,-4887610,-1668940,2086175,-1072890,1311310,2145780,-2145780,-4768400,-3993535,-2205385,3874325,-1430520,-238420,0,-59605,-5900895,-4231955,-6139315,2264990,-4649190,-8285095,1132495,-10252060,-6198920,-27835535,-23663185,-3159065,-4649190,-417235,6198920,-5900895,3695510,-6079710
9200,4470375,953680,536445,-894075,4529980,5424055,2443805,119210,417235,-2324595,5722080,1728545,-1907360,-596050,1311310,357630,3516695,-5602870,-59605,6318130,476840,-1907360,7569835,5424055,4768400,5066425,-59605,1847755,1549730,5126030,4470375,5900895,1370915,5900895,-2324595,-1668940,7212205,2801435,2205385,238420,6258525,715260,-3457090,298025,-3457090,4053140,1192100,1966965,-2563015,-3516695,3218670,-19610045,-20861750,-894075,-2443805,9715615,3278275,2741830,-417235,-774865
9300,6198920,476840,178815,-2980250,5543265,6139315,4410770,-5543265,1907360,2682225,1549730,3457090,-5245240,417235,774865,-476840,2086175,-1251705,-357630,6914180,2264990,1072890,3993535,6258525,3576300,2086175,2145780,-5960500,5483660,4887610,6735365,7271810,1549730,3814720,-5781685,-953680,6556550,6377735,-953680,1728545,5006820,7808255,715260,2741830,-2324595,-1788150,1311310,536445,596050,-3397485,2145780,-178815,-2980250,-2741830,2503410,2801435,7033390,3516695,-2622620,-2026570
